"Time Stamp","Time Zone","Name","PTID","Load"
"07/31/2020 00:00:00","EDT","CAPITL",61757,1526.8218
"07/31/2020 00:00:00","EDT","CENTRL",61754,1764.2296
"07/31/2020 00:00:00","EDT","DUNWOD",61760,887.033
"07/31/2020 00:00:00","EDT","GENESE",61753,1131.4973
"07/31/2020 00:00:00","EDT","HUD VL",61758,1319.239
"07/31/2020 00:00:00","EDT","LONGIL",61762,3401.2358
"07/31/2020 00:00:00","EDT","MHK VL",61756,895.1342
"07/31/2020 00:00:00","EDT","MILLWD",61759,398.3771
"07/31/2020 00:00:00","EDT","N.Y.C.",61761,7612.96
"07/31/2020 00:00:00","EDT","NORTH",61755,554.5568
"07/31/2020 00:00:00","EDT","WEST",61752,1768.8535
"07/31/2020 00:05:00","EDT","CAPITL",61757,1503.7406
"07/31/2020 00:05:00","EDT","CENTRL",61754,1750.4032
"07/31/2020 00:05:00","EDT","DUNWOD",61760,867.6427
"07/31/2020 00:05:00","EDT","GENESE",61753,1123.5503
"07/31/2020 00:05:00","EDT","HUD VL",61758,1298.1062
"07/31/2020 00:05:00","EDT","LONGIL",61762,3383.2048
"07/31/2020 00:05:00","EDT","MHK VL",61756,891.7653
"07/31/2020 00:05:00","EDT","MILLWD",61759,406.7591
"07/31/2020 00:05:00","EDT","N.Y.C.",61761,7604.2646
"07/31/2020 00:05:00","EDT","NORTH",61755,546.9137
"07/31/2020 00:05:00","EDT","WEST",61752,1749.0844
"07/31/2020 00:10:00","EDT","CAPITL",61757,1490.5916
"07/31/2020 00:10:00","EDT","CENTRL",61754,1755.715
"07/31/2020 00:10:00","EDT","DUNWOD",61760,869.2933
"07/31/2020 00:10:00","EDT","GENESE",61753,1116.3505
"07/31/2020 00:10:00","EDT","HUD VL",61758,1311.1422
"07/31/2020 00:10:00","EDT","LONGIL",61762,3357.9626
"07/31/2020 00:10:00","EDT","MHK VL",61756,868.3539
"07/31/2020 00:10:00","EDT","MILLWD",61759,402.3234
"07/31/2020 00:10:00","EDT","N.Y.C.",61761,7539.406
"07/31/2020 00:10:00","EDT","NORTH",61755,549.9928
"07/31/2020 00:10:00","EDT","WEST",61752,1739.17
"07/31/2020 00:15:00","EDT","CAPITL",61757,1492.781
"07/31/2020 00:15:00","EDT","CENTRL",61754,1742.3966
"07/31/2020 00:15:00","EDT","DUNWOD",61760,871.2481
"07/31/2020 00:15:00","EDT","GENESE",61753,1111.6343
"07/31/2020 00:15:00","EDT","HUD VL",61758,1268.0388
"07/31/2020 00:15:00","EDT","LONGIL",61762,3325.0312
"07/31/2020 00:15:00","EDT","MHK VL",61756,872.9271
"07/31/2020 00:15:00","EDT","MILLWD",61759,398.4065
"07/31/2020 00:15:00","EDT","N.Y.C.",61761,7519.289
"07/31/2020 00:15:00","EDT","NORTH",61755,545.4221
"07/31/2020 00:15:00","EDT","WEST",61752,1715.6
"07/31/2020 00:20:00","EDT","CAPITL",61757,1479.6619
"07/31/2020 00:20:00","EDT","CENTRL",61754,1672.0156
"07/31/2020 00:20:00","EDT","DUNWOD",61760,865.6282
"07/31/2020 00:20:00","EDT","GENESE",61753,1098.8467
"07/31/2020 00:20:00","EDT","HUD VL",61758,1270.8777
"07/31/2020 00:20:00","EDT","LONGIL",61762,3287.9146
"07/31/2020 00:20:00","EDT","MHK VL",61756,860.8115
"07/31/2020 00:20:00","EDT","MILLWD",61759,391.2272
"07/31/2020 00:20:00","EDT","N.Y.C.",61761,7448.6445
"07/31/2020 00:20:00","EDT","NORTH",61755,551.0696
"07/31/2020 00:20:00","EDT","WEST",61752,1702.2017
"07/31/2020 00:25:00","EDT","CAPITL",61757,1473.6201
"07/31/2020 00:25:00","EDT","CENTRL",61754,1675.3225
"07/31/2020 00:25:00","EDT","DUNWOD",61760,860.8699
"07/31/2020 00:25:00","EDT","GENESE",61753,1099.6765
"07/31/2020 00:25:00","EDT","HUD VL",61758,1265.8501
"07/31/2020 00:25:00","EDT","LONGIL",61762,3273.9832
"07/31/2020 00:25:00","EDT","MHK VL",61756,853.6188
"07/31/2020 00:25:00","EDT","MILLWD",61759,383.0259
"07/31/2020 00:25:00","EDT","N.Y.C.",61761,7438.8076
"07/31/2020 00:25:00","EDT","NORTH",61755,550.2421
"07/31/2020 00:25:00","EDT","WEST",61752,1688.5771
"07/31/2020 00:30:00","EDT","CAPITL",61757,1469.7344
"07/31/2020 00:30:00","EDT","CENTRL",61754,1691.188
"07/31/2020 00:30:00","EDT","DUNWOD",61760,857.0611
"07/31/2020 00:30:00","EDT","GENESE",61753,1083.3855
"07/31/2020 00:30:00","EDT","HUD VL",61758,1237.084
"07/31/2020 00:30:00","EDT","LONGIL",61762,3261.4307
"07/31/2020 00:30:00","EDT","MHK VL",61756,850.5461
"07/31/2020 00:30:00","EDT","MILLWD",61759,386.8632
"07/31/2020 00:30:00","EDT","N.Y.C.",61761,7385.532
"07/31/2020 00:30:00","EDT","NORTH",61755,547.0888
"07/31/2020 00:30:00","EDT","WEST",61752,1690.4983
"07/31/2020 00:35:00","EDT","CAPITL",61757,1465.2539
"07/31/2020 00:35:00","EDT","CENTRL",61754,1709.3673
"07/31/2020 00:35:00","EDT","DUNWOD",61760,860.0772
"07/31/2020 00:35:00","EDT","GENESE",61753,1079.0596
"07/31/2020 00:35:00","EDT","HUD VL",61758,1238.25
"07/31/2020 00:35:00","EDT","LONGIL",61762,3243.7363
"07/31/2020 00:35:00","EDT","MHK VL",61756,854.4393
"07/31/2020 00:35:00","EDT","MILLWD",61759,382.4317
