"Time Stamp","Time Zone","Name","PTID","Load"
"11/19/2020 00:00:00","EST","CAPITL",61757,1349.2235
"11/19/2020 00:00:00","EST","CENTRL",61754,1705.8557
"11/19/2020 00:00:00","EST","DUNWOD",61760,581.7141
"11/19/2020 00:00:00","EST","GENESE",61753,1029.083
"11/19/2020 00:00:00","EST","HUD VL",61758,1012.2869
"11/19/2020 00:00:00","EST","LONGIL",61762,1965.6731
"11/19/2020 00:00:00","EST","MHK VL",61756,830.2008
"11/19/2020 00:00:00","EST","MILLWD",61759,330.4023
"11/19/2020 00:00:00","EST","N.Y.C.",61761,4778.145
"11/19/2020 00:00:00","EST","NORTH",61755,631.5579
"11/19/2020 00:00:00","EST","WEST",61752,1504.2773
"11/19/2020 00:05:00","EST","CAPITL",61757,1353.1345
"11/19/2020 00:05:00","EST","CENTRL",61754,1651.9703
"11/19/2020 00:05:00","EST","DUNWOD",61760,579.9568
"11/19/2020 00:05:00","EST","GENESE",61753,1031.9229
"11/19/2020 00:05:00","EST","HUD VL",61758,987.4783
"11/19/2020 00:05:00","EST","LONGIL",61762,1959.3717
"11/19/2020 00:05:00","EST","MHK VL",61756,818.1505
"11/19/2020 00:05:00","EST","MILLWD",61759,293.9487
"11/19/2020 00:05:00","EST","N.Y.C.",61761,4752.145
"11/19/2020 00:05:00","EST","NORTH",61755,614.6715
"11/19/2020 00:05:00","EST","WEST",61752,1491.8346
"11/19/2020 00:10:00","EST","CAPITL",61757,1334.1594
"11/19/2020 00:10:00","EST","CENTRL",61754,1696.966
"11/19/2020 00:10:00","EST","DUNWOD",61760,574.4844
"11/19/2020 00:10:00","EST","GENESE",61753,1017.5919
"11/19/2020 00:10:00","EST","HUD VL",61758,996.9086
"11/19/2020 00:10:00","EST","LONGIL",61762,1941.6599
"11/19/2020 00:10:00","EST","MHK VL",61756,825.8781
"11/19/2020 00:10:00","EST","MILLWD",61759,277.8795
"11/19/2020 00:10:00","EST","N.Y.C.",61761,4733.2065
"11/19/2020 00:10:00","EST","NORTH",61755,607.8624
"11/19/2020 00:10:00","EST","WEST",61752,1513.7191
"11/19/2020 00:15:00","EST","CAPITL",61757,1336.0785
"11/19/2020 00:15:00","EST","CENTRL",61754,1692.2024
"11/19/2020 00:15:00","EST","DUNWOD",61760,561.4119
"11/19/2020 00:15:00","EST","GENESE",61753,1015.678
"11/19/2020 00:15:00","EST","HUD VL",61758,982.2239
"11/19/2020 00:15:00","EST","LONGIL",61762,1935.3489
"11/19/2020 00:15:00","EST","MHK VL",61756,821.4905
"11/19/2020 00:15:00","EST","MILLWD",61759,323.5031
"11/19/2020 00:15:00","EST","N.Y.C.",61761,4711.721
"11/19/2020 00:15:00","EST","NORTH",61755,607.3322
"11/19/2020 00:15:00","EST","WEST",61752,1498.7162
"11/19/2020 00:20:00","EST","CAPITL",61757,1335.5767
"11/19/2020 00:20:00","EST","CENTRL",61754,1698.1432
"11/19/2020 00:20:00","EST","DUNWOD",61760,571.6055
"11/19/2020 00:20:00","EST","GENESE",61753,1020.8491
"11/19/2020 00:20:00","EST","HUD VL",61758,993.6139
"11/19/2020 00:20:00","EST","LONGIL",61762,1917.548
"11/19/2020 00:20:00","EST","MHK VL",61756,814.5349
"11/19/2020 00:20:00","EST","MILLWD",61759,326.4969
"11/19/2020 00:20:00","EST","N.Y.C.",61761,4673.8394
"11/19/2020 00:20:00","EST","NORTH",61755,609.408
"11/19/2020 00:20:00","EST","WEST",61752,1492.4745
"11/19/2020 00:25:00","EST","CAPITL",61757,1326.6661
"11/19/2020 00:25:00","EST","CENTRL",61754,1717.0082
"11/19/2020 00:25:00","EST","DUNWOD",61760,568.121
"11/19/2020 00:25:00","EST","GENESE",61753,1013.2531
"11/19/2020 00:25:00","EST","HUD VL",61758,997.6042
"11/19/2020 00:25:00","EST","LONGIL",61762,1922.454
"11/19/2020 00:25:00","EST","MHK VL",61756,807.7766
"11/19/2020 00:25:00","EST","MILLWD",61759,328.7547
"11/19/2020 00:25:00","EST","N.Y.C.",61761,4674.417
"11/19/2020 00:25:00","EST","NORTH",61755,611.5187
"11/19/2020 00:25:00","EST","WEST",61752,1503.0808
"11/19/2020 00:30:00","EST","CAPITL",61757,1322.1738
"11/19/2020 00:30:00","EST","CENTRL",61754,1641.4612
"11/19/2020 00:30:00","EST","DUNWOD",61760,562.9
"11/19/2020 00:30:00","EST","GENESE",61753,1012.5624
"11/19/2020 00:30:00","EST","HUD VL",61758,955.9274
"11/19/2020 00:30:00","EST","LONGIL",61762,1925.2026
"11/19/2020 00:30:00","EST","MHK VL",61756,815.2916
"11/19/2020 00:30:00","EST","MILLWD",61759,319.4279
"11/19/2020 00:30:00","EST","N.Y.C.",61761,4656.209
"11/19/2020 00:30:00","EST","NORTH",61755,614.6599
"11/19/2020 00:30:00","EST","WEST",61752,1511.2673
"11/19/2020 00:35:00","EST","CAPITL",61757,1323.6206
"11/19/2020 00:35:00","EST","CENTRL",61754,1683.5309
"11/19/2020 00:35:00","EST","DUNWOD",61760,562.9932
"11/19/2020 00:35:00","EST","GENESE",61753,1011.9514
"11/19/2020 00:35:00","EST","HUD VL",61758,1011.389
"11/19/2020 00:35:00","EST","LONGIL",61762,1928.2927
"11/19/2020 00:35:00","EST","MHK VL",61756,807.2965
"11/19/2020 00:35:00","EST","MILLWD",61759,330.528
"11/19/2020 00:35:00","EST","N.Y.C.",61761,4607.4277
"11/19/2020 00:35:00","EST","NORTH",61755,608.311
"11/19/2020 00:35:00","EST","WEST",61752,1481.6694
"11/19/2020 00:40:00","EST","CAPITL",61757,1322.5974
"11/19/2020 00:40:00","EST","CENTRL",61754,1703.0889
"11/19/2020 00:40:00","EST","DUNWOD",61760,561.5436
"11/19/2020 00:40:00","EST","GENESE",61753,1003.9004
"11/19/2020 00:40:00","EST","HUD VL",61758,990.1925
"11/19/2020 00:40:00","EST","LONGIL",61762,1893.8884
"11/19/2020 00:40:00","EST","MHK VL",61756,794.6981
"11/19/2020 00:40:00","EST","MILLWD",61759,308.1193
"11/19/2020 00:40:00","EST","N.Y.C.",61761,4632.1826
"11/19/2020 00:40:00","EST","NORTH",61755,606.7623
"11/19/2020 00:40:00","EST","WEST",61752,1463.3784
"11/19/2020 00:45:00","EST","CAPITL",61757,1314.4471
"11/19/2020 00:45:00","EST","CENTRL",61754,1697.1146
"11/19/2020 00:45:00","EST","DUNWOD",61760,560.6651
"11/19/2020 00:45:00","EST","GENESE",61753,1005.0576
"11/19/2020 00:45:00","EST","HUD VL",61758,979.3823
"11/19/2020 00:45:00","EST","LONGIL",61762,1889.7334
"11/19/2020 00:45:00","EST","MHK VL",61756,800.9783
"11/19/2020 00:45:00","EST","MILLWD",61759,286.1725
"11/19/2020 00:45:00","EST","N.Y.C.",61761,4615.3887
"11/19/2020 00:45:00","EST","NORTH",61755,605.7756
"11/19/2020 00:45:00","EST","WEST",61752,1476.4874
"11/19/2020 00:50:00","EST","CAPITL",61757,1307.4038
"11/19/2020 00:50:00","EST","CENTRL",61754,1711.2421
"11/19/2020 00:50:00","EST","DUNWOD",61760,547.7592
"11/19/2020 00:50:00","EST","GENESE",61753,997.9471
"11/19/2020 00:50:00","EST","HUD VL",61758,979.6969
"11/19/2020 00:50:00","EST","LONGIL",61762,1878.6024
"11/19/2020 00:50:00","EST","MHK VL",61756,800.5287
"11/19/2020 00:50:00","EST","MILLWD",61759,322.6422
