"Time Stamp","Time Zone","Name","PTID","Load"
"10/11/2020 00:00:00","EDT","CAPITL",61757,1148.2502
"10/11/2020 00:00:00","EDT","CENTRL",61754,1370.6342
"10/11/2020 00:00:00","EDT","DUNWOD",61760,519.6789
"10/11/2020 00:00:00","EDT","GENESE",61753,855.1574
"10/11/2020 00:00:00","EDT","HUD VL",61758,836.0533
"10/11/2020 00:00:00","EDT","LONGIL",61762,1845.3436
"10/11/2020 00:00:00","EDT","MHK VL",61756,688.1883
"10/11/2020 00:00:00","EDT","MILLWD",61759,233.6
"10/11/2020 00:00:00","EDT","N.Y.C.",61761,4520.845
"10/11/2020 00:00:00","EDT","NORTH",61755,499.358
"10/11/2020 00:00:00","EDT","WEST",61752,1339.6681
"10/11/2020 00:05:00","EDT","CAPITL",61757,1144.0945
"10/11/2020 00:05:00","EDT","CENTRL",61754,1352.4221
"10/11/2020 00:05:00","EDT","DUNWOD",61760,514.0309
"10/11/2020 00:05:00","EDT","GENESE",61753,850.5512
"10/11/2020 00:05:00","EDT","HUD VL",61758,830.3092
"10/11/2020 00:05:00","EDT","LONGIL",61762,1830.5859
"10/11/2020 00:05:00","EDT","MHK VL",61756,683.9508
"10/11/2020 00:05:00","EDT","MILLWD",61759,230.3635
"10/11/2020 00:05:00","EDT","N.Y.C.",61761,4529.945
"10/11/2020 00:05:00","EDT","NORTH",61755,494.426
"10/11/2020 00:05:00","EDT","WEST",61752,1359.623
"10/11/2020 00:05:30","EDT","CAPITL",61757,1145.8346
"10/11/2020 00:05:30","EDT","CENTRL",61754,1354.1553
"10/11/2020 00:05:30","EDT","DUNWOD",61760,527.6967
"10/11/2020 00:05:30","EDT","GENESE",61753,851.4436
"10/11/2020 00:05:30","EDT","HUD VL",61758,823.0405
"10/11/2020 00:05:30","EDT","LONGIL",61762,1826.0035
"10/11/2020 00:05:30","EDT","MHK VL",61756,684.1774
"10/11/2020 00:05:30","EDT","MILLWD",61759,229.0416
"10/11/2020 00:05:30","EDT","N.Y.C.",61761,4518.924
"10/11/2020 00:05:30","EDT","NORTH",61755,498.6451
"10/11/2020 00:05:30","EDT","WEST",61752,1345.1545
"10/11/2020 00:07:00","EDT","CAPITL",61757,1131.6936
"10/11/2020 00:07:00","EDT","CENTRL",61754,1358.7844
"10/11/2020 00:07:00","EDT","DUNWOD",61760,521.3258
"10/11/2020 00:07:00","EDT","GENESE",61753,846.9978
"10/11/2020 00:07:00","EDT","HUD VL",61758,819.0276
"10/11/2020 00:07:00","EDT","LONGIL",61762,1812.75
"10/11/2020 00:07:00","EDT","MHK VL",61756,679.1544
"10/11/2020 00:07:00","EDT","MILLWD",61759,235.6648
"10/11/2020 00:07:00","EDT","N.Y.C.",61761,4497.0146
"10/11/2020 00:07:00","EDT","NORTH",61755,494.4526
"10/11/2020 00:07:00","EDT","WEST",61752,1331.2026
"10/11/2020 00:10:00","EDT","CAPITL",61757,1134.7068
"10/11/2020 00:10:00","EDT","CENTRL",61754,1352.7352
"10/11/2020 00:10:00","EDT","DUNWOD",61760,521.5424
"10/11/2020 00:10:00","EDT","GENESE",61753,845.0403
"10/11/2020 00:10:00","EDT","HUD VL",61758,837.2523
"10/11/2020 00:10:00","EDT","LONGIL",61762,1824.3379
"10/11/2020 00:10:00","EDT","MHK VL",61756,680.2159
"10/11/2020 00:10:00","EDT","MILLWD",61759,217.1566
"10/11/2020 00:10:00","EDT","N.Y.C.",61761,4486.64
"10/11/2020 00:10:00","EDT","NORTH",61755,497.7306
