"Time Stamp","Time Zone","Name","PTID","Load"
"11/02/2020 00:00:00","EST","CAPITL",61757,1192.6838
"11/02/2020 00:00:00","EST","CENTRL",61754,1585.7517
"11/02/2020 00:00:00","EST","DUNWOD",61760,514.0444
"11/02/2020 00:00:00","EST","GENESE",61753,965.6914
"11/02/2020 00:00:00","EST","HUD VL",61758,862.3392
"11/02/2020 00:00:00","EST","LONGIL",61762,1699.9622
"11/02/2020 00:00:00","EST","MHK VL",61756,782.6082
"11/02/2020 00:00:00","EST","MILLWD",61759,257.7607
"11/02/2020 00:00:00","EST","N.Y.C.",61761,4348.464
"11/02/2020 00:00:00","EST","NORTH",61755,557.398
"11/02/2020 00:00:00","EST","WEST",61752,1473.7112
"11/02/2020 00:03:54","EST","CAPITL",61757,1169.4951
"11/02/2020 00:03:54","EST","CENTRL",61754,1540.0221
"11/02/2020 00:03:54","EST","DUNWOD",61760,500.4819
"11/02/2020 00:03:54","EST","GENESE",61753,963.2885
"11/02/2020 00:03:54","EST","HUD VL",61758,866.6573
"11/02/2020 00:03:54","EST","LONGIL",61762,1694.9158
"11/02/2020 00:03:54","EST","MHK VL",61756,782.4479
"11/02/2020 00:03:54","EST","MILLWD",61759,249.7563
"11/02/2020 00:03:54","EST","N.Y.C.",61761,4295.035
"11/02/2020 00:03:54","EST","NORTH",61755,544.7598
"11/02/2020 00:03:54","EST","WEST",61752,1479.8259
"11/02/2020 00:05:00","EST","CAPITL",61757,1173.1167
"11/02/2020 00:05:00","EST","CENTRL",61754,1531.7451
"11/02/2020 00:05:00","EST","DUNWOD",61760,511.5935
"11/02/2020 00:05:00","EST","GENESE",61753,960.203
"11/02/2020 00:05:00","EST","HUD VL",61758,848.9587
"11/02/2020 00:05:00","EST","LONGIL",61762,1694.387
"11/02/2020 00:05:00","EST","MHK VL",61756,785.79
"11/02/2020 00:05:00","EST","MILLWD",61759,263.3212
"11/02/2020 00:05:00","EST","N.Y.C.",61761,4290.034
"11/02/2020 00:05:00","EST","NORTH",61755,559.176
"11/02/2020 00:05:00","EST","WEST",61752,1476.7134
"11/02/2020 00:05:30","EST","CAPITL",61757,1172.4658
"11/02/2020 00:05:30","EST","CENTRL",61754,1526.2952
"11/02/2020 00:05:30","EST","DUNWOD",61760,501.5192
"11/02/2020 00:05:30","EST","GENESE",61753,966.333
"11/02/2020 00:05:30","EST","HUD VL",61758,860.9299
"11/02/2020 00:05:30","EST","LONGIL",61762,1684.005
"11/02/2020 00:05:30","EST","MHK VL",61756,829.9414
"11/02/2020 00:05:30","EST","MILLWD",61759,251.8531
"11/02/2020 00:05:30","EST","N.Y.C.",61761,4287.2275
"11/02/2020 00:05:30","EST","NORTH",61755,579.3687
"11/02/2020 00:05:30","EST","WEST",61752,1461.8965
"11/02/2020 00:10:00","EST","CAPITL",61757,1171.9019
"11/02/2020 00:10:00","EST","CENTRL",61754,1525.4462
"11/02/2020 00:10:00","EST","DUNWOD",61760,500.0127
"11/02/2020 00:10:00","EST","GENESE",61753,966.6812
"11/02/2020 00:10:00","EST","HUD VL",61758,859.012
"11/02/2020 00:10:00","EST","LONGIL",61762,1682.1315
"11/02/2020 00:10:00","EST","MHK VL",61756,778.2346
"11/02/2020 00:10:00","EST","MILLWD",61759,247.009
"11/02/2020 00:10:00","EST","N.Y.C.",61761,4284.496
