"Time Stamp","Time Zone","Name","PTID","Load"
"09/27/2020 00:00:00","EDT","CAPITL",61757,1204.913
"09/27/2020 00:00:00","EDT","CENTRL",61754,1458.0139
"09/27/2020 00:00:00","EDT","DUNWOD",61760,588.3039
"09/27/2020 00:00:00","EDT","GENESE",61753,957.7021
"09/27/2020 00:00:00","EDT","HUD VL",61758,933.194
"09/27/2020 00:00:00","EDT","LONGIL",61762,2090.309
"09/27/2020 00:00:00","EDT","MHK VL",61756,684.3838
"09/27/2020 00:00:00","EDT","MILLWD",61759,283.2424
"09/27/2020 00:00:00","EDT","N.Y.C.",61761,5027.572
"09/27/2020 00:00:00","EDT","NORTH",61755,488.9213
"09/27/2020 00:00:00","EDT","WEST",61752,1397.0381
"09/27/2020 00:05:00","EDT","CAPITL",61757,1200.43
"09/27/2020 00:05:00","EDT","CENTRL",61754,1481.7277
"09/27/2020 00:05:00","EDT","DUNWOD",61760,590.3113
"09/27/2020 00:05:00","EDT","GENESE",61753,953.8699
"09/27/2020 00:05:00","EDT","HUD VL",61758,910.174
"09/27/2020 00:05:00","EDT","LONGIL",61762,2087.2676
"09/27/2020 00:05:00","EDT","MHK VL",61756,667.0874
"09/27/2020 00:05:00","EDT","MILLWD",61759,283.5504
"09/27/2020 00:05:00","EDT","N.Y.C.",61761,5003.8535
"09/27/2020 00:05:00","EDT","NORTH",61755,495.8247
"09/27/2020 00:05:00","EDT","WEST",61752,1396.2762
"09/27/2020 00:10:00","EDT","CAPITL",61757,1192.5266
"09/27/2020 00:10:00","EDT","CENTRL",61754,1475.21
"09/27/2020 00:10:00","EDT","DUNWOD",61760,599.2107
"09/27/2020 00:10:00","EDT","GENESE",61753,950.583
"09/27/2020 00:10:00","EDT","HUD VL",61758,898.8202
"09/27/2020 00:10:00","EDT","LONGIL",61762,2072.5696
"09/27/2020 00:10:00","EDT","MHK VL",61756,683.4835
"09/27/2020 00:10:00","EDT","MILLWD",61759,278.9805
"09/27/2020 00:10:00","EDT","N.Y.C.",61761,4978.4873
"09/27/2020 00:10:00","EDT","NORTH",61755,497.5034
"09/27/2020 00:10:00","EDT","WEST",61752,1399.4366
"09/27/2020 00:15:00","EDT","CAPITL",61757,1183.9633
"09/27/2020 00:15:00","EDT","CENTRL",61754,1463.0503
"09/27/2020 00:15:00","EDT","DUNWOD",61760,590.6144
"09/27/2020 00:15:00","EDT","GENESE",61753,945.7916
"09/27/2020 00:15:00","EDT","HUD VL",61758,925.3749
"09/27/2020 00:15:00","EDT","LONGIL",61762,2063.8733
"09/27/2020 00:15:00","EDT","MHK VL",61756,678.0304
"09/27/2020 00:15:00","EDT","MILLWD",61759,277.6158
"09/27/2020 00:15:00","EDT","N.Y.C.",61761,4965.6045
"09/27/2020 00:15:00","EDT","NORTH",61755,493.2987
"09/27/2020 00:15:00","EDT","WEST",61752,1381.7587
"09/27/2020 00:20:00","EDT","CAPITL",61757,1195.144
"09/27/2020 00:20:00","EDT","CENTRL",61754,1413.7916
"09/27/2020 00:20:00","EDT","DUNWOD",61760,595.541
"09/27/2020 00:20:00","EDT","GENESE",61753,939.8328
"09/27/2020 00:20:00","EDT","HUD VL",61758,911.5971
"09/27/2020 00:20:00","EDT","LONGIL",61762,2039.6084
"09/27/2020 00:20:00","EDT","MHK VL",61756,673.9221
"09/27/2020 00:20:00","EDT","MILLWD",61759,274.8214
"09/27/2020 00:20:00","EDT","N.Y.C.",61761,4951.405
"09/27/2020 00:20:00","EDT","NORTH",61755,495.7123
"09/27/2020 00:20:00","EDT","WEST",61752,1389.8441
"09/27/2020 00:25:00","EDT","CAPITL",61757,1187.092
"09/27/2020 00:25:00","EDT","CENTRL",61754,1450.3068
"09/27/2020 00:25:00","EDT","DUNWOD",61760,586.6982
"09/27/2020 00:25:00","EDT","GENESE",61753,931.101
"09/27/2020 00:25:00","EDT","HUD VL",61758,887.6797
"09/27/2020 00:25:00","EDT","LONGIL",61762,2028.0454
"09/27/2020 00:25:00","EDT","MHK VL",61756,667.4097
"09/27/2020 00:25:00","EDT","MILLWD",61759,283.33
"09/27/2020 00:25:00","EDT","N.Y.C.",61761,4944.7417
"09/27/2020 00:25:00","EDT","NORTH",61755,493.9067
"09/27/2020 00:25:00","EDT","WEST",61752,1367.5656
"09/27/2020 00:30:00","EDT","CAPITL",61757,1185.3074
"09/27/2020 00:30:00","EDT","CENTRL",61754,1441.529
"09/27/2020 00:30:00","EDT","DUNWOD",61760,584.6403
"09/27/2020 00:30:00","EDT","GENESE",61753,926.2944
"09/27/2020 00:30:00","EDT","HUD VL",61758,889.4356
"09/27/2020 00:30:00","EDT","LONGIL",61762,2019.5846
"09/27/2020 00:30:00","EDT","MHK VL",61756,678.8897
"09/27/2020 00:30:00","EDT","MILLWD",61759,268.33
"09/27/2020 00:30:00","EDT","N.Y.C.",61761,4943.697
"09/27/2020 00:30:00","EDT","NORTH",61755,496.1585
"09/27/2020 00:30:00","EDT","WEST",61752,1365.2549
"09/27/2020 00:35:00","EDT","CAPITL",61757,1184.1138
"09/27/2020 00:35:00","EDT","CENTRL",61754,1443.7567
"09/27/2020 00:35:00","EDT","DUNWOD",61760,588.7551
"09/27/2020 00:35:00","EDT","GENESE",61753,918.9961
"09/27/2020 00:35:00","EDT","HUD VL",61758,892.4294
"09/27/2020 00:35:00","EDT","LONGIL",61762,2000.1064
"09/27/2020 00:35:00","EDT","MHK VL",61756,665.6583
"09/27/2020 00:35:00","EDT","MILLWD",61759,275.4412
"09/27/2020 00:35:00","EDT","N.Y.C.",61761,4922.4756
"09/27/2020 00:35:00","EDT","NORTH",61755,490.5132
"09/27/2020 00:35:00","EDT","WEST",61752,1359.7625
"09/27/2020 00:40:00","EDT","CAPITL",61757,1166.2825
"09/27/2020 00:40:00","EDT","CENTRL",61754,1392.5702
"09/27/2020 00:40:00","EDT","DUNWOD",61760,576.0005
"09/27/2020 00:40:00","EDT","GENESE",61753,917.086
"09/27/2020 00:40:00","EDT","HUD VL",61758,872.4462
"09/27/2020 00:40:00","EDT","LONGIL",61762,1988.7207
"09/27/2020 00:40:00","EDT","MHK VL",61756,654.6299
"09/27/2020 00:40:00","EDT","MILLWD",61759,274.8975
"09/27/2020 00:40:00","EDT","N.Y.C.",61761,4907.3135
"09/27/2020 00:40:00","EDT","NORTH",61755,498.6917
"09/27/2020 00:40:00","EDT","WEST",61752,1361.1785
"09/27/2020 00:45:00","EDT","CAPITL",61757,1175.8789
"09/27/2020 00:45:00","EDT","CENTRL",61754,1423.1176
"09/27/2020 00:45:00","EDT","DUNWOD",61760,566.7994
"09/27/2020 00:45:00","EDT","GENESE",61753,918.6013
"09/27/2020 00:45:00","EDT","HUD VL",61758,866.991
"09/27/2020 00:45:00","EDT","LONGIL",61762,1984.8604
"09/27/2020 00:45:00","EDT","MHK VL",61756,658.9976
"09/27/2020 00:45:00","EDT","MILLWD",61759,264.6521
"09/27/2020 00:45:00","EDT","N.Y.C.",61761,4900.509
"09/27/2020 00:45:00","EDT","NORTH",61755,504.0797
"09/27/2020 00:45:00","EDT","WEST",61752,1325.4539
"09/27/2020 00:50:00","EDT","CAPITL",61757,1165.7888
"09/27/2020 00:50:00","EDT","CENTRL",61754,1435.7781
"09/27/2020 00:50:00","EDT","DUNWOD",61760,565.1661
