"Time Stamp","Time Zone","Name","PTID","Load"
"08/08/2020 00:00:00","EDT","CAPITL",61757,1399.9958
"08/08/2020 00:00:00","EDT","CENTRL",61754,1700.6294
"08/08/2020 00:00:00","EDT","DUNWOD",61760,684.4067
"08/08/2020 00:00:00","EDT","GENESE",61753,1070.6011
"08/08/2020 00:00:00","EDT","HUD VL",61758,1113.5963
"08/08/2020 00:00:00","EDT","LONGIL",61762,2512.5664
"08/08/2020 00:00:00","EDT","MHK VL",61756,899.9425
"08/08/2020 00:00:00","EDT","MILLWD",61759,263.2152
"08/08/2020 00:00:00","EDT","N.Y.C.",61761,6025.5107
"08/08/2020 00:00:00","EDT","NORTH",61755,456.112
"08/08/2020 00:00:00","EDT","WEST",61752,1646.106
"08/08/2020 00:05:00","EDT","CAPITL",61757,1389.7563
"08/08/2020 00:05:00","EDT","CENTRL",61754,1703.0721
"08/08/2020 00:05:00","EDT","DUNWOD",61760,672.368
"08/08/2020 00:05:00","EDT","GENESE",61753,1054.1191
"08/08/2020 00:05:00","EDT","HUD VL",61758,1104.0935
"08/08/2020 00:05:00","EDT","LONGIL",61762,2519.8271
"08/08/2020 00:05:00","EDT","MHK VL",61756,813.9689
"08/08/2020 00:05:00","EDT","MILLWD",61759,251.8324
"08/08/2020 00:05:00","EDT","N.Y.C.",61761,6033.34
"08/08/2020 00:05:00","EDT","NORTH",61755,540.1646
"08/08/2020 00:05:00","EDT","WEST",61752,1634.3876
"08/08/2020 00:10:00","EDT","CAPITL",61757,1375.9355
"08/08/2020 00:10:00","EDT","CENTRL",61754,1681.9856
"08/08/2020 00:10:00","EDT","DUNWOD",61760,669.9692
"08/08/2020 00:10:00","EDT","GENESE",61753,1058.3418
"08/08/2020 00:10:00","EDT","HUD VL",61758,1102.1708
"08/08/2020 00:10:00","EDT","LONGIL",61762,2489.2307
"08/08/2020 00:10:00","EDT","MHK VL",61756,802.9835
"08/08/2020 00:10:00","EDT","MILLWD",61759,269.3813
"08/08/2020 00:10:00","EDT","N.Y.C.",61761,5996.8623
"08/08/2020 00:10:00","EDT","NORTH",61755,519.9668
"08/08/2020 00:10:00","EDT","WEST",61752,1626.0552
"08/08/2020 00:15:00","EDT","CAPITL",61757,1380.4043
"08/08/2020 00:15:00","EDT","CENTRL",61754,1671.406
"08/08/2020 00:15:00","EDT","DUNWOD",61760,668.6836
"08/08/2020 00:15:00","EDT","GENESE",61753,1046.5608
"08/08/2020 00:15:00","EDT","HUD VL",61758,1079.583
"08/08/2020 00:15:00","EDT","LONGIL",61762,2464.1929
"08/08/2020 00:15:00","EDT","MHK VL",61756,792.631
"08/08/2020 00:15:00","EDT","MILLWD",61759,260.178
"08/08/2020 00:15:00","EDT","N.Y.C.",61761,5978.6455
"08/08/2020 00:15:00","EDT","NORTH",61755,527.2237
"08/08/2020 00:15:00","EDT","WEST",61752,1614.6871
"08/08/2020 00:20:00","EDT","CAPITL",61757,1374.83
"08/08/2020 00:20:00","EDT","CENTRL",61754,1662.7208
"08/08/2020 00:20:00","EDT","DUNWOD",61760,662.4301
"08/08/2020 00:20:00","EDT","GENESE",61753,1046.67
"08/08/2020 00:20:00","EDT","HUD VL",61758,1065.421
"08/08/2020 00:20:00","EDT","LONGIL",61762,2459.2888
"08/08/2020 00:20:00","EDT","MHK VL",61756,784.4052
