"Time Stamp","Time Zone","Name","PTID","Load"
"09/01/2020 00:00:00","EDT","CAPITL",61757,1200.2134
"09/01/2020 00:00:00","EDT","CENTRL",61754,1566.461
"09/01/2020 00:00:00","EDT","DUNWOD",61760,614.1832
"09/01/2020 00:00:00","EDT","GENESE",61753,1054.3483
"09/01/2020 00:00:00","EDT","HUD VL",61758,965.0104
"09/01/2020 00:00:00","EDT","LONGIL",61762,2390.0015
"09/01/2020 00:00:00","EDT","MHK VL",61756,696.5598
"09/01/2020 00:00:00","EDT","MILLWD",61759,270.2586
"09/01/2020 00:00:00","EDT","N.Y.C.",61761,5532.6123
"09/01/2020 00:00:00","EDT","NORTH",61755,504.4368
"09/01/2020 00:00:00","EDT","WEST",61752,1592.8304
"09/01/2020 00:05:00","EDT","CAPITL",61757,1172.1348
"09/01/2020 00:05:00","EDT","CENTRL",61754,1599.6871
"09/01/2020 00:05:00","EDT","DUNWOD",61760,606.5773
"09/01/2020 00:05:00","EDT","GENESE",61753,1047.8474
"09/01/2020 00:05:00","EDT","HUD VL",61758,943.879
"09/01/2020 00:05:00","EDT","LONGIL",61762,2365.6445
"09/01/2020 00:05:00","EDT","MHK VL",61756,692.4708
"09/01/2020 00:05:00","EDT","MILLWD",61759,275.6306
"09/01/2020 00:05:00","EDT","N.Y.C.",61761,5504.4854
"09/01/2020 00:05:00","EDT","NORTH",61755,507.7321
"09/01/2020 00:05:00","EDT","WEST",61752,1604.9194
"09/01/2020 00:10:00","EDT","CAPITL",61757,1188.2562
"09/01/2020 00:10:00","EDT","CENTRL",61754,1530.0527
"09/01/2020 00:10:00","EDT","DUNWOD",61760,619.0115
"09/01/2020 00:10:00","EDT","GENESE",61753,1049.0536
"09/01/2020 00:10:00","EDT","HUD VL",61758,953.5974
"09/01/2020 00:10:00","EDT","LONGIL",61762,2328.3342
"09/01/2020 00:10:00","EDT","MHK VL",61756,698.0029
"09/01/2020 00:10:00","EDT","MILLWD",61759,268.3826
"09/01/2020 00:10:00","EDT","N.Y.C.",61761,5497.9434
"09/01/2020 00:10:00","EDT","NORTH",61755,509.892
"09/01/2020 00:10:00","EDT","WEST",61752,1608.5933
"09/01/2020 00:15:00","EDT","CAPITL",61757,1181.6844
"09/01/2020 00:15:00","EDT","CENTRL",61754,1568.672
"09/01/2020 00:15:00","EDT","DUNWOD",61760,625.018
"09/01/2020 00:15:00","EDT","GENESE",61753,1053.2942
"09/01/2020 00:15:00","EDT","HUD VL",61758,926.3287
"09/01/2020 00:15:00","EDT","LONGIL",61762,2323.47
"09/01/2020 00:15:00","EDT","MHK VL",61756,691.7196
"09/01/2020 00:15:00","EDT","MILLWD",61759,266.881
"09/01/2020 00:15:00","EDT","N.Y.C.",61761,5475.8013
"09/01/2020 00:15:00","EDT","NORTH",61755,521.0613
"09/01/2020 00:15:00","EDT","WEST",61752,1585.3291
"09/01/2020 00:20:00","EDT","CAPITL",61757,1169.2446
"09/01/2020 00:20:00","EDT","CENTRL",61754,1560.7781
"09/01/2020 00:20:00","EDT","DUNWOD",61760,620.4964
"09/01/2020 00:20:00","EDT","GENESE",61753,1046.7354
"09/01/2020 00:20:00","EDT","HUD VL",61758,924.189
"09/01/2020 00:20:00","EDT","LONGIL",61762,2314.6726
"09/01/2020 00:20:00","EDT","MHK VL",61756,703.911
"09/01/2020 00:20:00","EDT","MILLWD",61759,265.5587
"09/01/2020 00:20:00","EDT","N.Y.C.",61761,5444.332
"09/01/2020 00:20:00","EDT","NORTH",61755,513.8035
"09/01/2020 00:20:00","EDT","WEST",61752,1587.3453
"09/01/2020 00:25:00","EDT","CAPITL",61757,1178.8159
"09/01/2020 00:25:00","EDT","CENTRL",61754,1571.8754
"09/01/2020 00:25:00","EDT","DUNWOD",61760,632.0612
"09/01/2020 00:25:00","EDT","GENESE",61753,1044.117
"09/01/2020 00:25:00","EDT","HUD VL",61758,903.1562
"09/01/2020 00:25:00","EDT","LONGIL",61762,2294.7468
"09/01/2020 00:25:00","EDT","MHK VL",61756,698.0346
"09/01/2020 00:25:00","EDT","MILLWD",61759,271.7092
"09/01/2020 00:25:00","EDT","N.Y.C.",61761,5412.87
"09/01/2020 00:25:00","EDT","NORTH",61755,515.0107
"09/01/2020 00:25:00","EDT","WEST",61752,1571.7621
"09/01/2020 00:30:00","EDT","CAPITL",61757,1158.8915
"09/01/2020 00:30:00","EDT","CENTRL",61754,1569.0599
"09/01/2020 00:30:00","EDT","DUNWOD",61760,604.9728
"09/01/2020 00:30:00","EDT","GENESE",61753,1038.5466
"09/01/2020 00:30:00","EDT","HUD VL",61758,930.7799
"09/01/2020 00:30:00","EDT","LONGIL",61762,2269.0244
"09/01/2020 00:30:00","EDT","MHK VL",61756,691.7701
"09/01/2020 00:30:00","EDT","MILLWD",61759,265.5377
"09/01/2020 00:30:00","EDT","N.Y.C.",61761,5409.3394
"09/01/2020 00:30:00","EDT","NORTH",61755,507.3225
"09/01/2020 00:30:00","EDT","WEST",61752,1575.2821
"09/01/2020 00:35:00","EDT","CAPITL",61757,1162.418
"09/01/2020 00:35:00","EDT","CENTRL",61754,1557.1464
"09/01/2020 00:35:00","EDT","DUNWOD",61760,609.6345
"09/01/2020 00:35:00","EDT","GENESE",61753,1030.8809
"09/01/2020 00:35:00","EDT","HUD VL",61758,905.0901
"09/01/2020 00:35:00","EDT","LONGIL",61762,2271.6824
"09/01/2020 00:35:00","EDT","MHK VL",61756,697.7634
"09/01/2020 00:35:00","EDT","MILLWD",61759,265.7131
"09/01/2020 00:35:00","EDT","N.Y.C.",61761,5412.1475
"09/01/2020 00:35:00","EDT","NORTH",61755,498.1177
"09/01/2020 00:35:00","EDT","WEST",61752,1562.2753
"09/01/2020 00:40:00","EDT","CAPITL",61757,1167.6711
"09/01/2020 00:40:00","EDT","CENTRL",61754,1510.0413
"09/01/2020 00:40:00","EDT","DUNWOD",61760,604.8394
"09/01/2020 00:40:00","EDT","GENESE",61753,1022.2322
"09/01/2020 00:40:00","EDT","HUD VL",61758,893.4545
"09/01/2020 00:40:00","EDT","LONGIL",61762,2251.9812
"09/01/2020 00:40:00","EDT","MHK VL",61756,688.1679
"09/01/2020 00:40:00","EDT","MILLWD",61759,263.3524
"09/01/2020 00:40:00","EDT","N.Y.C.",61761,5394.944
"09/01/2020 00:40:00","EDT","NORTH",61755,503.2083
"09/01/2020 00:40:00","EDT","WEST",61752,1555.428
"09/01/2020 00:45:00","EDT","CAPITL",61757,1162.7144
"09/01/2020 00:45:00","EDT","CENTRL",61754,1504.3066
"09/01/2020 00:45:00","EDT","DUNWOD",61760,612.4509
"09/01/2020 00:45:00","EDT","GENESE",61753,1032.9381
"09/01/2020 00:45:00","EDT","HUD VL",61758,885.323
"09/01/2020 00:45:00","EDT","LONGIL",61762,2237.817
"09/01/2020 00:45:00","EDT","MHK VL",61756,697.239
"09/01/2020 00:45:00","EDT","MILLWD",61759,261.8507
"09/01/2020 00:45:00","EDT","N.Y.C.",61761,5389.42
"09/01/2020 00:45:00","EDT","NORTH",61755,499.3708
"09/01/2020 00:45:00","EDT","WEST",61752,1567.0486
"09/01/2020 00:50:00","EDT","CAPITL",61757,1151.8403
"09/01/2020 00:50:00","EDT","CENTRL",61754,1532.1653
"09/01/2020 00:50:00","EDT","DUNWOD",61760,607.989
"09/01/2020 00:50:00","EDT","GENESE",61753,1026.6064
"09/01/2020 00:50:00","EDT","HUD VL",61758,898.8029
"09/01/2020 00:50:00","EDT","LONGIL",61762,2231.139
"09/01/2020 00:50:00","EDT","MHK VL",61756,686.9679
"09/01/2020 00:50:00","EDT","MILLWD",61759,255.8746
"09/01/2020 00:50:00","EDT","N.Y.C.",61761,5334.214
"09/01/2020 00:50:00","EDT","NORTH",61755,505.7752
"09/01/2020 00:50:00","EDT","WEST",61752,1535.9912
"09/01/2020 00:55:00","EDT","CAPITL",61757,1140.1265
"09/01/2020 00:55:00","EDT","CENTRL",61754,1534.7241
"09/01/2020 00:55:00","EDT","DUNWOD",61760,600.4113
"09/01/2020 00:55:00","EDT","GENESE",61753,1014.2527
"09/01/2020 00:55:00","EDT","HUD VL",61758,892.8276
"09/01/2020 00:55:00","EDT","LONGIL",61762,2213.153
"09/01/2020 00:55:00","EDT","MHK VL",61756,681.5853
"09/01/2020 00:55:00","EDT","MILLWD",61759,251.7414
"09/01/2020 00:55:00","EDT","N.Y.C.",61761,5344.6543
"09/01/2020 00:55:00","EDT","NORTH",61755,516.6675
"09/01/2020 00:55:00","EDT","WEST",61752,1543.2273
"09/01/2020 01:00:00","EDT","CAPITL",61757,1143.9188
"09/01/2020 01:00:00","EDT","CENTRL",61754,1511.0991
"09/01/2020 01:00:00","EDT","DUNWOD",61760,604.2304
"09/01/2020 01:00:00","EDT","GENESE",61753,1016.0718
"09/01/2020 01:00:00","EDT","HUD VL",61758,894.5355
"09/01/2020 01:00:00","EDT","LONGIL",61762,2219.1895
"09/01/2020 01:00:00","EDT","MHK VL",61756,684.6334
"09/01/2020 01:00:00","EDT","MILLWD",61759,256.9396
"09/01/2020 01:00:00","EDT","N.Y.C.",61761,5322.134
"09/01/2020 01:00:00","EDT","NORTH",61755,514.4562
"09/01/2020 01:00:00","EDT","WEST",61752,1516.9186
"09/01/2020 01:05:00","EDT","CAPITL",61757,1161.8085
"09/01/2020 01:05:00","EDT","CENTRL",61754,1514.2216
"09/01/2020 01:05:00","EDT","DUNWOD",61760,606.0086
"09/01/2020 01:05:00","EDT","GENESE",61753,1005.063
"09/01/2020 01:05:00","EDT","HUD VL",61758,881.4453
"09/01/2020 01:05:00","EDT","LONGIL",61762,2192.4128
"09/01/2020 01:05:00","EDT","MHK VL",61756,678.5255
"09/01/2020 01:05:00","EDT","MILLWD",61759,249.1089
"09/01/2020 01:05:00","EDT","N.Y.C.",61761,5291.202
"09/01/2020 01:05:00","EDT","NORTH",61755,513.0855
"09/01/2020 01:05:00","EDT","WEST",61752,1524.845
"09/01/2020 01:10:00","EDT","CAPITL",61757,1181.7338
"09/01/2020 01:10:00","EDT","CENTRL",61754,1516.2327
"09/01/2020 01:10:00","EDT","DUNWOD",61760,595.817
"09/01/2020 01:10:00","EDT","GENESE",61753,1000.7535
"09/01/2020 01:10:00","EDT","HUD VL",61758,882.8518
"09/01/2020 01:10:00","EDT","LONGIL",61762,2202.6748
"09/01/2020 01:10:00","EDT","MHK VL",61756,675.2549
"09/01/2020 01:10:00","EDT","MILLWD",61759,245.8882
"09/01/2020 01:10:00","EDT","N.Y.C.",61761,5272.381
"09/01/2020 01:10:00","EDT","NORTH",61755,515.7791
"09/01/2020 01:10:00","EDT","WEST",61752,1510.0011
"09/01/2020 01:15:00","EDT","CAPITL",61757,1132.3739
"09/01/2020 01:15:00","EDT","CENTRL",61754,1505.9662
"09/01/2020 01:15:00","EDT","DUNWOD",61760,598.6878
"09/01/2020 01:15:00","EDT","GENESE",61753,998.3729
"09/01/2020 01:15:00","EDT","HUD VL",61758,896.5101
"09/01/2020 01:15:00","EDT","LONGIL",61762,2182.9646
"09/01/2020 01:15:00","EDT","MHK VL",61756,678.093
"09/01/2020 01:15:00","EDT","MILLWD",61759,250.7658
"09/01/2020 01:15:00","EDT","N.Y.C.",61761,5282.551
"09/01/2020 01:15:00","EDT","NORTH",61755,510.9147
"09/01/2020 01:15:00","EDT","WEST",61752,1523.6937
"09/01/2020 01:20:00","EDT","CAPITL",61757,1135.8198
"09/01/2020 01:20:00","EDT","CENTRL",61754,1503.1398
"09/01/2020 01:20:00","EDT","DUNWOD",61760,591.8713
"09/01/2020 01:20:00","EDT","GENESE",61753,1001.0826
"09/01/2020 01:20:00","EDT","HUD VL",61758,877.8059
"09/01/2020 01:20:00","EDT","LONGIL",61762,2169.8496
"09/01/2020 01:20:00","EDT","MHK VL",61756,681.3789
"09/01/2020 01:20:00","EDT","MILLWD",61759,253.8606
"09/01/2020 01:20:00","EDT","N.Y.C.",61761,5268.794
"09/01/2020 01:20:00","EDT","NORTH",61755,500.2141
"09/01/2020 01:20:00","EDT","WEST",61752,1508.8268
"09/01/2020 01:25:00","EDT","CAPITL",61757,1132.0753
"09/01/2020 01:25:00","EDT","CENTRL",61754,1528.2507
"09/01/2020 01:25:00","EDT","DUNWOD",61760,596.3284
"09/01/2020 01:25:00","EDT","GENESE",61753,998.7979
"09/01/2020 01:25:00","EDT","HUD VL",61758,872.3273
"09/01/2020 01:25:00","EDT","LONGIL",61762,2171.7065
"09/01/2020 01:25:00","EDT","MHK VL",61756,673.8053
"09/01/2020 01:25:00","EDT","MILLWD",61759,252.8052
"09/01/2020 01:25:00","EDT","N.Y.C.",61761,5241.9526
"09/01/2020 01:25:00","EDT","NORTH",61755,500.1574
"09/01/2020 01:25:00","EDT","WEST",61752,1502.0364
"09/01/2020 01:30:00","EDT","CAPITL",61757,1129.0847
"09/01/2020 01:30:00","EDT","CENTRL",61754,1513.7106
"09/01/2020 01:30:00","EDT","DUNWOD",61760,591.5304
"09/01/2020 01:30:00","EDT","GENESE",61753,990.5906
"09/01/2020 01:30:00","EDT","HUD VL",61758,856.5861
"09/01/2020 01:30:00","EDT","LONGIL",61762,2152.6924
"09/01/2020 01:30:00","EDT","MHK VL",61756,668.2083
"09/01/2020 01:30:00","EDT","MILLWD",61759,251.4835
"09/01/2020 01:30:00","EDT","N.Y.C.",61761,5226.0166
"09/01/2020 01:30:00","EDT","NORTH",61755,497.9003
"09/01/2020 01:30:00","EDT","WEST",61752,1501.3994
"09/01/2020 01:35:00","EDT","CAPITL",61757,1130.4343
"09/01/2020 01:35:00","EDT","CENTRL",61754,1456.6769
"09/01/2020 01:35:00","EDT","DUNWOD",61760,589.9487
"09/01/2020 01:35:00","EDT","GENESE",61753,983.8395
"09/01/2020 01:35:00","EDT","HUD VL",61758,864.1482
"09/01/2020 01:35:00","EDT","LONGIL",61762,2154.476
"09/01/2020 01:35:00","EDT","MHK VL",61756,670.7093
"09/01/2020 01:35:00","EDT","MILLWD",61759,245.3741
"09/01/2020 01:35:00","EDT","N.Y.C.",61761,5228.9355
"09/01/2020 01:35:00","EDT","NORTH",61755,500.609
"09/01/2020 01:35:00","EDT","WEST",61752,1495.1346
"09/01/2020 01:40:00","EDT","CAPITL",61757,1123.6034
"09/01/2020 01:40:00","EDT","CENTRL",61754,1500.3704
"09/01/2020 01:40:00","EDT","DUNWOD",61760,583.6812
"09/01/2020 01:40:00","EDT","GENESE",61753,986.9463
"09/01/2020 01:40:00","EDT","HUD VL",61758,843.3988
"09/01/2020 01:40:00","EDT","LONGIL",61762,2153.2979
